                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.565,                 4.2124,                 4.1758,                 3.3397,                 10.557,                 4.2624,                0.00066,                0.15684,                 0.0005,                0.00016,                 3.3493,                 4.7092,                 4.1482,                 3.2372,                 16.983,                 4.1543,                0.00062,                0.00062,                0.00062
                      2,                 3.2235,                 3.5258,                 3.6035,                 2.8656,                  7.061,                 3.5935,                0.00072,                0.17158,                 0.0005,                0.00014,                 3.4113,                 4.5012,                 3.9983,                 3.2279,                 13.569,                 4.0394,              0.0012475,              0.0012475,              0.0012475
                      3,                 2.8532,                 3.1179,                 3.1857,                 2.4745,                 5.2216,                 3.0249,                0.01015,                0.27789,                 0.0228,                 0.0065,                 3.0078,                 8.5133,                 5.0448,                 2.6132,                 13.973,                 4.5049,              0.0018624,              0.0018624,              0.0018624
                      4,                 2.6625,                 2.8269,                 2.9396,                 2.3356,                 4.1614,                 2.6906,                0.05965,                0.06421,                0.01949,                 0.0055,                 2.7248,                 6.4345,                  3.929,                 2.3982,                 5.2859,                 4.4865,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.4846,                 2.6396,                 2.7753,                 2.2325,                 3.5354,                 2.5314,                0.08895,                0.13895,                0.04197,                0.01048,                 2.7748,                   3.98,                 3.5043,                  2.434,                 4.4817,                 2.8515,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.3174,                 2.4502,                 2.6345,                 2.0993,                  3.105,                 2.3868,                0.23442,                0.20421,                0.14794,                0.04748,                  2.286,                 3.5049,                 2.7519,                 2.1141,                 4.3544,                 2.5055,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.3119,                  2.359,                 2.5527,                 2.0825,                 2.9268,                 2.2882,                0.19353,                0.22421,                0.16967,                0.05988,                 2.2509,                 3.7718,                 2.6022,                  2.025,                 4.9621,                 2.4174,               0.001901,               0.001901,               0.001901
                      8,                 2.2027,                  2.221,                 2.4502,                 2.0488,                 2.7335,                 2.2129,                0.33593,                0.40947,                0.31842,                0.12288,                 2.1197,                 2.5616,                 2.5174,                 1.9728,                 3.1433,                 2.3308,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.1358,                 2.1361,                 2.3638,                 2.0156,                 2.6143,                 2.1571,                0.27472,                0.44316,                0.27284,                0.10895,                  1.976,                 2.9371,                 2.3532,                  1.861,                 3.4862,                 2.2589,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.0819,                 2.1021,                 2.3087,                 1.9671,                 2.5287,                 2.1255,                0.42134,                0.29684,                0.31867,                0.12799,                 2.0212,                 2.0758,                 2.2572,                 1.8459,                 2.6647,                    2.1,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.0027,                 1.9745,                 2.2146,                 1.9181,                 2.4027,                 2.0554,                0.36832,                0.44526,                0.36533,                0.17468,                 1.8381,                 2.0324,                 2.1182,                  1.722,                 2.4135,                 1.9506,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.9268,                 1.8969,                 2.1391,                 1.8574,                 2.3287,                 1.9888,                0.48267,                0.46553,                0.45934,                0.21545,                  1.741,                 2.0728,                 2.0698,                 1.7026,                 2.2697,                 1.9471,               0.001802,               0.001802,               0.001802
                     13,                 1.9012,                 1.8048,                 2.0923,                 1.8266,                 2.2204,                 1.9412,                0.46659,                0.44421,                0.42578,                0.21228,                 1.7341,                 2.0315,                 2.0098,                 1.6725,                 2.4681,                 1.9246,              0.0017822,              0.0017822,              0.0017822
                     14,                  1.914,                  1.793,                 2.0671,                 1.8532,                 2.1964,                 1.9564,                0.53459,                0.45789,                 0.4838,                0.22518,                 1.8369,                 1.8148,                 2.0733,                 1.7337,                 2.1171,                  1.948,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.8513,                  1.712,                 2.0284,                 1.8136,                 2.0652,                 1.9283,                0.37998,                0.43789,                 0.3338,                0.13316,                 1.9986,                 1.8803,                 2.2184,                  1.861,                 2.3286,                 2.0699,              0.0017426,              0.0017426,              0.0017426
                     16,                  1.818,                 1.6852,                 1.9853,                  1.809,                 2.0598,                 1.9124,                0.51078,                0.50632,                0.51133,                0.21811,                 1.7744,                 1.6818,                 1.9884,                 1.7175,                  1.928,                 1.9146,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.7762,                 1.6737,                 1.9391,                  1.726,                 2.0598,                  1.849,                0.62567,                    0.5,                0.56642,                0.27203,                  1.661,                 1.6287,                 1.8885,                  1.644,                 1.9044,                 1.8284,               0.001703,               0.001703,               0.001703
                     18,                 1.7598,                 1.6199,                 1.9117,                 1.7273,                 1.9963,                 1.8223,                0.58526,                0.53772,                0.57712,                0.30249,                 1.5691,                 1.5122,                 1.8124,                 1.5716,                 1.7685,                 1.7698,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.7281,                 1.5651,                  1.893,                  1.704,                 1.9377,                 1.8189,                0.60412,                0.49789,                0.56737,                0.30114,                   1.63,                 1.6053,                 1.8564,                 1.5919,                 1.7821,                 1.8164,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.6769,                 1.5554,                 1.8531,                 1.6798,                 1.9073,                 1.7659,                0.61042,                0.59047,                0.65085,                0.36438,                 1.4261,                  1.383,                 1.6825,                 1.4904,                 1.6152,                 1.7073,              0.0016436,              0.0016436,              0.0016436
